Summary or Document Name,Topic,Specific Topic,URL,,,
Germany Expects V-Shaped Economic Rebound From Coronavirus,Europe,Germany,https://www.wsj.com/articles/germany-expects-v-shaped-economic-rebound-from-coronavirus-11598973469,,,4 north america
"German recovery from COVID-19 will be slow and painful, data shows",Europe,Germany,https://www.reuters.com/article/us-health-coronavirus-germany-economy-idUSKBN247160,,,6 europe
UK economy shows signs of faltering before second Covid-19 wave,Europe,UK,https://www.theguardian.com/business/2020/sep/29/uk-economy-second-covid-19-wave-recession,,,7 asia
Coronavirus Business Update: UK economy shrinks by a fifth,Europe,UK,https://www.ft.com/content/38234084-6dde-4834-a40d-29bd0d1c28cf,,,3 rest
French economy plunges by almost 14% as Covid-19 lockdown takes its toll,Europe,France,https://www.rfi.fr/en/france/20200731-french-economy-plunges-by-almost-14-as-covid-19-lockdown-takes-its-toll,,,
France prepares €100 billion rescue package to save coronavirus-hit economy,Europe,France,https://www.thelocal.fr/20200902/france-prepares-100-billion-rescue-package-to-save-coronavirus-hit-economy,,,at most 7 url from same publisher
Italy Seeks Economic Rebirth With EU Coronavirus Recovery Money,Europe,Italy,https://www.wsj.com/articles/italy-seeks-economic-rebirth-with-eu-coronavirus-recovery-money-11599998880,,,
"As coronavirus batters Singapore’s economy, lost jobs loom as long-term headache",Asia,Singapore,https://www.scmp.com/week-asia/economics/article/3096654/coronavirus-batters-singapores-economy-lost-jobs-loom-long-term,,,
Singapore's recession deepens with worst ever quarterly contraction of 13.2%,Asia,Singapore,https://www.straitstimes.com/business/economy/singapore-lowers-2020-gdp-forecast-to-between-5-and-7-as-economy-plunges-worse-than,,,
Can Japan balance controlling COVID-19 with rebooting the economy?,Asia,Japan,https://www.japantimes.co.jp/news/2020/09/25/national/japan-balance-coronavirus-economy/,,,
"Japan braces for worst postwar economic slump, as coronavirus crisis tests policy response",Asia,Japan,https://www.cnbc.com/2020/06/08/japan-q1-gdp-shrinks-less-than-initial-estimate-still-faces-steep-recession.html,,,
COVID-19 Pushes South Korea Into Recession,Asia,South Korean,https://thediplomat.com/2020/08/covid-19-pushes-south-korea-into-recession/,,,
"As China’s economic recovery from the coronavirus gains momentum, what is the outlook?",Asia,China,https://www.scmp.com/economy/china-economy/article/3101180/chinas-economic-recovery-coronavirus-gains-momentum-what,,,
Hong Kong’s coronavirus-ravaged economy shrinks 9 per cent in second quarter,Asia,Hong Kong,https://www.scmp.com/news/hong-kong/hong-kong-economy/article/3095166/hong-kongs-coronavirus-ravaged-economy-shrinks-9,,,
Covid-19 crushes US economy in second quarter; rising cases temper recovery hopes,North America,USA,https://www.straitstimes.com/business/economy/us-gdp-collapses-by-329-in-second-quarter-steepest-rate-since-great-depression,,,
Canadian economy posted steepest decline on record as coronavirus struck: StatCan,North America,Canada,https://www.ctvnews.ca/business/canadian-economy-posted-steepest-decline-on-record-as-coronavirus-struck-statcan-1.5082814,,,
South Africa’s economy suffers worst quarterly slide in decades,Other,South Africa,https://www.ft.com/content/fe84438b-acf3-4adc-b1f7-73884b89f424,,,
Brazil Is a Virus Mess But Its Economy Is Outperforming,Other,Brazil,https://www.bloombergquint.com/politics/brazil-latin-america-s-covid-hotbed-leads-its-economic-rebound,,,
India experiences an economic storm as the coronavirus rages,Asia,India,https://www.aljazeera.com/economy/2020/08/28/india-experiences-an-economic-storm-as-the-coronavirus-rages/?gb=true,,,
How the coronavirus crisis will hit Switzerland's economy in 2020,Europe,Swiss,https://www.thelocal.ch/20200618/how-the-coronavirus-crisis-will-hit-switzerlands-economy-in-2020,,,
