Title,Topic,Rating,URL
"Netflix is a ""fair"" service",General,2,https://www.trustpilot.com/users/5f6bf6e05f94a29df64aee60
Netflix is horrible cause of pedohilia,Pedophilia (Cuties),1,https://www.trustpilot.com/reviews/5f6d488b798e6f0aa4e3d76b
Love Netflix but,UI,3,https://www.trustpilot.com/reviews/5f6b5238798e6f0aa4e293d3
Netdix's,County Specific Content,2,https://www.trustpilot.com/reviews/5f6aa983798e6f09601dc740
Netflix overview,Content,4,https://www.trustpilot.com/reviews/5f6951e002e8570a4877a0f4
Arrogance of Netflix is self defeating,Content Recommendation,2,https://www.trustpilot.com/reviews/5f67ccb602e8570acc3c93b4
"Ok content, poor customer service.",Customer Service,2,https://www.trustpilot.com/reviews/5f672a4502e8570a487669e1
I haven't watched anything on Netflix...,Content,1,https://www.trustpilot.com/reviews/5f66e95902e8570acc3c2588
"Used to love it, but recently",Content,2,https://www.trustpilot.com/reviews/5f64d72702e8570a48753c6d
It's time to write the truth about...,Content,1,https://www.trustpilot.com/reviews/5f64a70302e8570acc3ae06b
You can't beat the price for what you...,Content,5,https://www.trustpilot.com/reviews/5f6409da02e8570acc3a8b41
Not that many good movies,Content,1,https://www.trustpilot.com/reviews/5f62084402e8570acc3950b9
The king of streaming services,General,5,https://www.trustpilot.com/reviews/5f5b58e902e8570af01f4c09
Great movies,Content,5,https://www.trustpilot.com/reviews/5f5b3fa802e8570a1c483b2b
No words other then fuck YOU Netflix,Content,1,https://www.trustpilot.com/reviews/5f56e58602e8570814022360
Great service,General,4,https://www.trustpilot.com/reviews/5f549c8402e857081400e707
Terrible,Payment,1,https://www.trustpilot.com/reviews/5f54707102e85708c8e0c453
I don't think you should automatically,Payment,1,https://www.trustpilot.com/reviews/5f53a79702e8570814009e88
Generally it's a very comfortable,Content,4,https://www.trustpilot.com/reviews/5f4f9c9702e85708c8de3826
Terrible,Payment,1,https://www.trustpilot.com/reviews/5f4e71df02e85708c8dd8b2c
Lack of,Content,1,https://www.trustpilot.com/reviews/5f4c645102e8570814fc578f
Someone in Venezuela hacked my account...,Security and Cusomter Service,1,https://www.trustpilot.com/reviews/5f4aaf9b02e8570814fbca72
"Converting Legends, Books & Comics to Movie and Series",Content,4,https://www.trustpilot.com/reviews/5f499e8a02e85708c8db418b
The worst application ever,Search,1,https://www.trustpilot.com/reviews/5f4980f102e85708c8db3a4b
Netflix is robbing me blind,Quality,2,https://www.trustpilot.com/reviews/5f47fe2102e85708c8da5acf
Netflix Fraud,Payment,1,https://www.trustpilot.com/reviews/5f4761d102e85708c8d9c84f
Netflix Number One Best,General,5,https://www.trustpilot.com/reviews/5f46d59202e85708c8d9a2a1
I don't like them at all anymore,Payment,1,https://www.trustpilot.com/reviews/5f45ba1102e85708c8d8e089
Account kept getting hacked,Security  ,1,https://www.trustpilot.com/reviews/5f44945202e85708c8d811a2
Zero service quit netflix,Customer Service,1,https://www.trustpilot.com/reviews/5f427b1202e85708c8d70769
